p_{#mu} / GeV,0.2 - 0.3,0.3 - 0.4,0.4 - 0.5,0.5 - 0.6,0.6 - 0.75,0.75 - 0.95,0.95 - 1.15,1.15 - 1.4,1.4 - 1.75,1.75 - 2.1,2.1 - 2.5,2.5 - 3.05,3.05 - 3.7,3.7 - 4.9,4.9 - 30,
Cross-section (x10^{-40} cm^2/nucleon) ,6.00219,4.09609,4.03629,1.42874,2.04991,2.07719,1.49898,0.996676,0.840758,0.639527,0.554949,0.358252,0.218325,0.142894,0.00979575,
Total uncertainty (x10^{-40} cm^2/nucleon) ,2.45468,1.95662,1.60286,1.10449,0.983034,0.756749,0.566309,0.429652,0.391714,0.293628,0.262227,0.191345,0.14961,0.111234,0.00700262,

Total covariance matrix (x10^{-40} cm^2/nucleon)^2
0.2 - 0.3,6.02544,3.37956,2.33963,1.48007,1.39671,1.04734,0.763537,0.491028,0.395778,0.271223,0.215529,0.141024,0.0819894,0.0551337,0.00408224,
0.3 - 0.4,3.37956,3.82836,2.20522,1.33999,1.21731,0.913469,0.669836,0.407187,0.3162,0.217825,0.179152,0.117365,0.0684402,0.042407,0.00325518,
0.4 - 0.5,2.33963,2.20522,2.56916,1.27532,1.01187,0.780501,0.55201,0.342492,0.264388,0.182936,0.150716,0.09926,0.0573644,0.0348901,0.00275383,
0.5 - 0.6,1.48007,1.33999,1.27532,1.2199,0.820302,0.518522,0.343151,0.218163,0.161865,0.109887,0.0861519,0.0521064,0.025543,0.014459,0.00102911,
0.6 - 0.75,1.39671,1.21731,1.01187,0.820302,0.966356,0.588714,0.350089,0.230964,0.183968,0.12824,0.104903,0.0669942,0.039196,0.0253063,0.00174027,
0.75 - 0.95,1.04734,0.913469,0.780501,0.518522,0.588714,0.572669,0.337337,0.218422,0.17562,0.124931,0.104407,0.0687328,0.0446936,0.0295173,0.00196936,
0.95 - 1.15,0.763537,0.669836,0.55201,0.343151,0.350089,0.337337,0.320706,0.193254,0.138531,0.0980831,0.0831357,0.0566617,0.0380999,0.0246917,0.00167039,
1.15 - 1.4,0.491028,0.407187,0.342492,0.218163,0.230964,0.218422,0.193254,0.1846,0.143536,0.0929683,0.0786633,0.0529493,0.0382831,0.0264657,0.00167813,
1.4 - 1.75,0.395778,0.3162,0.264388,0.161865,0.183968,0.17562,0.138531,0.143536,0.15344,0.103375,0.084212,0.0557067,0.0413352,0.0291033,0.00183275,
1.75 - 2.1,0.271223,0.217825,0.182936,0.109887,0.12824,0.124931,0.0980831,0.0929683,0.103375,0.0862174,0.0719576,0.0462843,0.0336415,0.0232995,0.00145077,
2.1 - 2.5,0.215529,0.179152,0.150716,0.0861519,0.104903,0.104407,0.0831357,0.0786633,0.084212,0.0719576,0.068763,0.0464179,0.0335714,0.0226452,0.0013869,
2.5 - 3.05,0.141024,0.117365,0.09926,0.0521064,0.0669942,0.0687328,0.0566617,0.0529493,0.0557067,0.0462843,0.0464179,0.036613,0.0269211,0.0180082,0.00105119,
3.05 - 3.7,0.0819894,0.0684402,0.0573644,0.025543,0.039196,0.0446936,0.0380999,0.0382831,0.0413352,0.0336415,0.0335714,0.0269211,0.0223832,0.0159023,0.000916336,
3.7 - 4.9,0.0551337,0.042407,0.0348901,0.014459,0.0253063,0.0295173,0.0246917,0.0264657,0.0291033,0.0232995,0.0226452,0.0180082,0.0159023,0.0123731,0.000730148,
4.9 - 30,0.00408224,0.00325518,0.00275383,0.00102911,0.00174027,0.00196936,0.00167039,0.00167813,0.00183275,0.00145077,0.0013869,0.00105119,0.000916336,0.000730148,4.90367e-05,

Statistical covariance matrix (x10^{-40} cm^2/nucleon)^2
0.2 - 0.3,2.21764,0.383934,0.0343195,0.0134278,0.0240902,-0.000377967,0.00135127,0.00355882,0.00524426,0.00530182,0.000236326,0.000813799,0.000347674,0.000595237,-1.49344e-05,
0.3 - 0.4,0.383934,1.15807,0.224536,0.0582239,0.0413437,0.0072672,0.00811876,0.00169607,-0.00097357,0.000693963,0.00185387,0.00168675,0.00117248,0.00123023,7.67475e-05,
0.4 - 0.5,0.0343195,0.224536,0.894594,0.242969,0.039088,0.0257529,0.0146956,0.00692064,0.00164145,0.000832928,0.00254752,0.00301885,0.00254108,0.00194674,0.00015191,
0.5 - 0.6,0.0134278,0.0582239,0.242969,0.417835,0.12941,0.0266498,0.0146831,0.00540294,0.00498611,0.0037956,0.00346441,0.00178837,0.000784618,0.000585247,8.94209e-05,
0.6 - 0.75,0.0240902,0.0413437,0.039088,0.12941,0.31515,0.102757,0.0225316,0.00506018,0.00547675,0.00464951,0.00379725,0.00318307,0.00187224,0.00127643,7.43005e-05,
0.75 - 0.95,-0.000377967,0.0072672,0.0257529,0.0266498,0.102757,0.170669,0.0562747,0.017486,0.00822041,0.00569912,0.00359888,0.0021804,0.00106431,0.000692482,5.08637e-05,
0.95 - 1.15,0.00135127,0.00811876,0.0146956,0.0146831,0.0225316,0.0562747,0.102711,0.0413086,0.0111593,0.00575009,0.00415513,0.0025227,0.00158168,0.000971869,6.31273e-05,
1.15 - 1.4,0.00355882,0.00169607,0.00692064,0.00540294,0.00506018,0.017486,0.0413086,0.0548867,0.0242691,0.00762795,0.00409538,0.00142166,0.000974367,0.000665662,4.11185e-05,
1.4 - 1.75,0.00524426,-0.00097357,0.00164145,0.00498611,0.00547675,0.00822041,0.0111593,0.0242691,0.0323248,0.0173175,0.00876985,0.00291771,0.00149717,0.000745252,4.51513e-05,
1.75 - 2.1,0.00530182,0.000693963,0.000832928,0.0037956,0.00464951,0.00569912,0.00575009,0.00762795,0.0173175,0.0205979,0.0133786,0.00503096,0.00235411,0.00101999,6.36513e-05,
2.1 - 2.5,0.000236326,0.00185387,0.00254752,0.00346441,0.00379725,0.00359888,0.00415513,0.00409538,0.00876985,0.0133786,0.0146815,0.00785585,0.00378441,0.00138328,6.50676e-05,
2.5 - 3.05,0.000813799,0.00168675,0.00301885,0.00178837,0.00318307,0.0021804,0.0025227,0.00142166,0.00291771,0.00503096,0.00785585,0.00808335,0.00441563,0.00183085,5.54734e-05,
3.05 - 3.7,0.000347674,0.00117248,0.00254108,0.000784618,0.00187224,0.00106431,0.00158168,0.000974367,0.00149717,0.00235411,0.00378441,0.00441563,0.00369187,0.00220458,8.80148e-05,
3.7 - 4.9,0.000595237,0.00123023,0.00194674,0.000585247,0.00127643,0.000692482,0.000971869,0.000665662,0.000745252,0.00101999,0.00138328,0.00183085,0.00220458,0.00198969,0.00010676,
4.9 - 30,-1.49344e-05,7.67475e-05,0.00015191,8.94209e-05,7.43005e-05,5.08637e-05,6.31273e-05,4.11185e-05,4.51513e-05,6.36513e-05,6.50676e-05,5.54734e-05,8.80148e-05,0.00010676,9.45319e-06,

Flux covariance matrix (x10^{-40} cm^2/nucleon)^2
0.2 - 0.3,1.65891,1.32377,1.1827,0.673044,0.708659,0.612414,0.428265,0.300204,0.249038,0.19258,0.165359,0.108113,0.0699248,0.0462459,0.00299805,
0.3 - 0.4,1.32377,1.06205,0.950041,0.543363,0.572994,0.494172,0.345466,0.242617,0.201357,0.155813,0.133886,0.0877292,0.0571856,0.0380177,0.00246336,
0.4 - 0.5,1.1827,0.950041,0.85263,0.486702,0.515301,0.445852,0.312389,0.219845,0.182961,0.141841,0.121995,0.0799584,0.0521367,0.0347087,0.0022533,
0.5 - 0.6,0.673044,0.543363,0.486702,0.28615,0.296254,0.253395,0.177558,0.1248,0.101898,0.0775182,0.0654784,0.0419193,0.0261231,0.0166379,0.00109459,
0.6 - 0.75,0.708659,0.572994,0.515301,0.296254,0.314718,0.271485,0.189989,0.134017,0.111403,0.0863019,0.0742308,0.0487856,0.0322122,0.0216414,0.00140561,
0.75 - 0.95,0.612414,0.494172,0.445852,0.253395,0.271485,0.236002,0.165697,0.117211,0.0982369,0.0765572,0.0661141,0.043627,0.0289093,0.0195039,0.00126758,
0.95 - 1.15,0.428265,0.345466,0.312389,0.177558,0.189989,0.165697,0.116748,0.082757,0.0694152,0.0540277,0.0465251,0.0305468,0.0199705,0.0133196,0.000869181,
1.15 - 1.4,0.300204,0.242617,0.219845,0.1248,0.134017,0.117211,0.082757,0.0589639,0.0497315,0.0387821,0.0333905,0.0219518,0.0143708,0.00957386,0.000624196,
1.4 - 1.75,0.249038,0.201357,0.182961,0.101898,0.111403,0.0982369,0.0694152,0.0497315,0.0427813,0.0339232,0.0296094,0.0197902,0.0133153,0.00908309,0.000586589,
1.75 - 2.1,0.19258,0.155813,0.141841,0.0775182,0.0863019,0.0765572,0.0540277,0.0387821,0.0339232,0.0273429,0.0242198,0.0164564,0.0113911,0.00796459,0.000510285,
2.1 - 2.5,0.165359,0.133886,0.121995,0.0654784,0.0742308,0.0661141,0.0465251,0.0333905,0.0296094,0.0242198,0.0217558,0.0150154,0.0106858,0.00764319,0.000486611,
2.5 - 3.05,0.108113,0.0877292,0.0799584,0.0419193,0.0487856,0.043627,0.0305468,0.0219518,0.0197902,0.0164564,0.0150154,0.0105918,0.00784747,0.00576497,0.000363672,
3.05 - 3.7,0.0699248,0.0571856,0.0521367,0.0261231,0.0322122,0.0289093,0.0199705,0.0143708,0.0133153,0.0113911,0.0106858,0.00784747,0.00627654,0.00482838,0.000299368,
3.7 - 4.9,0.0462459,0.0380177,0.0347087,0.0166379,0.0216414,0.0195039,0.0133196,0.00957386,0.00908309,0.00796459,0.00764319,0.00576497,0.00482838,0.00382603,0.000235719,
4.9 - 30,0.00299805,0.00246336,0.0022533,0.00109459,0.00140561,0.00126758,0.000869181,0.000624196,0.000586589,0.000510285,0.000486611,0.000363672,0.000299368,0.000235719,1.47423e-05,

Theory cross-section covariance matrix (x10^{-40} cm^2/nucleon)^2
0.2 - 0.3,1.70349,1.43761,0.903738,0.712263,0.56474,0.361843,0.261972,0.155514,0.122353,0.0644043,0.0492916,0.0341221,0.015789,0.0123769,0.00109727,
0.3 - 0.4,1.43761,1.2497,0.805233,0.649184,0.512667,0.32609,0.234967,0.139096,0.107445,0.0574342,0.0431436,0.0292754,0.0130065,0.00970998,0.000866042,
0.4 - 0.5,0.903738,0.805233,0.558284,0.462335,0.366423,0.230889,0.154771,0.0901726,0.064932,0.0346405,0.0248008,0.0147622,0.00426516,0.0026325,0.000313367,
0.5 - 0.6,0.712263,0.649184,0.462335,0.406392,0.321583,0.192998,0.119984,0.067242,0.0411259,0.0192673,0.012251,0.0051287,-0.00257375,-0.00243311,-1.73631e-05,
0.6 - 0.75,0.56474,0.512667,0.366423,0.321583,0.266196,0.167639,0.105493,0.0703533,0.0515193,0.0290156,0.0229157,0.0126371,0.00480626,0.00283948,0.000307195,
0.75 - 0.95,0.361843,0.32609,0.230889,0.192998,0.167639,0.116643,0.0794869,0.0622363,0.0547097,0.0344049,0.028987,0.0183219,0.011577,0.00784302,0.000573184,
0.95 - 1.15,0.261972,0.234967,0.154771,0.119984,0.105493,0.0794869,0.0640364,0.0516291,0.0494196,0.033372,0.0283236,0.0198294,0.0139466,0.00983359,0.000663301,
1.15 - 1.4,0.155514,0.139096,0.0901726,0.067242,0.0703533,0.0622363,0.0516291,0.0544212,0.0588804,0.0402129,0.0356473,0.0248692,0.0192392,0.0136603,0.000900878,
1.4 - 1.75,0.122353,0.107445,0.064932,0.0411259,0.0515193,0.0547097,0.0494196,0.0588804,0.0692529,0.04688,0.0418343,0.0297999,0.024046,0.0172234,0.00111843,
1.75 - 2.1,0.0644043,0.0574342,0.0346405,0.0192673,0.0290156,0.0344049,0.033372,0.0402129,0.04688,0.0341402,0.0308877,0.0221514,0.0177609,0.0126871,0.000814344,
2.1 - 2.5,0.0492916,0.0431436,0.0248008,0.012251,0.0229157,0.028987,0.0283236,0.0356473,0.0418343,0.0308877,0.0285613,0.0204138,0.0164321,0.0117713,0.000758466,
2.5 - 3.05,0.0341221,0.0292754,0.0147622,0.0051287,0.0126371,0.0183219,0.0198294,0.0248692,0.0297999,0.0221514,0.0204138,0.0149482,0.0121189,0.00873892,0.000558705,
3.05 - 3.7,0.015789,0.0130065,0.00426516,-0.00257375,0.00480626,0.011577,0.0139466,0.0192392,0.024046,0.0177609,0.0164321,0.0121189,0.0100279,0.00725342,0.000460796,
3.7 - 4.9,0.0123769,0.00970998,0.0026325,-0.00243311,0.00283948,0.00784302,0.00983359,0.0136603,0.0172234,0.0126871,0.0117713,0.00873892,0.00725342,0.00527101,0.000335225,
4.9 - 30,0.00109727,0.000866042,0.000313367,-1.73631e-05,0.000307195,0.000573184,0.000663301,0.000900878,0.00111843,0.000814344,0.000758466,0.000558705,0.000460796,0.000335225,2.15345e-05,

FSI covariance matrix (x10^{-40} cm^2/nucleon)^2
0.2 - 0.3,0.143378,0.0882159,0.0484019,0.00423882,0.00807049,0.0217372,0.0288744,0.0142943,0.00580036,0.00606668,0.00611352,0.0045098,0.00489919,0.00284122,0.000221555,
0.3 - 0.4,0.0882159,0.18744,0.101953,0.00324918,0.00632895,0.0217843,0.0390362,0.00119734,-0.00887329,-0.00467293,-0.00128166,-0.000170466,5.01063e-05,-0.00381255,1.34856e-05,
0.4 - 0.5,0.0484019,0.101953,0.1011,0.00872419,0.00677218,0.0150346,0.0254166,0.00123531,-0.00444769,-0.00152367,0.000971842,0.00223711,0.00145966,-0.00184619,9.83175e-05,
0.5 - 0.6,0.00423882,0.00324918,0.00872419,0.0181917,0.00695563,-0.00218616,-0.00296107,-0.0017797,-0.000278145,0.000821305,0.000267656,-0.000217351,-0.000191913,-0.000276302,-1.12864e-05,
0.6 - 0.75,0.00807049,0.00632895,0.00677218,0.00695563,0.00418596,0.000536252,0.000626657,0.000307571,0.000331567,0.0007686,0.00060705,0.000311907,0.000291891,3.31879e-05,6.77506e-06,
0.75 - 0.95,0.0217372,0.0217843,0.0150346,-0.00218616,0.000536252,0.0085638,0.00977121,0.002988,0.000506428,0.000798275,0.00126952,0.00141577,0.00141995,0.000610231,6.83313e-05,
0.95 - 1.15,0.0288744,0.0390362,0.0254166,-0.00296107,0.000626657,0.00977121,0.01592,0.00389264,-0.000684917,0.00027608,0.00153336,0.00192495,0.00171833,0.000229897,7.38537e-05,
1.15 - 1.4,0.0142943,0.00119734,0.00123531,-0.0017797,0.000307571,0.002988,0.00389264,0.00416911,0.00229456,0.0018434,0.00189818,0.00167667,0.00150583,0.00117289,6.39166e-05,
1.4 - 1.75,0.00580036,-0.00887329,-0.00444769,-0.000278145,0.000331567,0.000506428,-0.000684917,0.00229456,0.00235498,0.00164357,0.00118446,0.00086599,0.000803867,0.000941821,3.49677e-05,
1.75 - 2.1,0.00606668,-0.00467293,-0.00152367,0.000821305,0.0007686,0.000798275,0.00027608,0.0018434,0.00164357,0.00169162,0.00141565,0.00105772,0.000889806,0.000813253,3.54135e-05,
2.1 - 2.5,0.00611352,-0.00128166,0.000971842,0.000267656,0.00060705,0.00126952,0.00153336,0.00189818,0.00118446,0.00141565,0.00147755,0.00121232,0.000983591,0.000728666,3.83441e-05,
2.5 - 3.05,0.0045098,-0.000170466,0.00223711,-0.000217351,0.000311907,0.00141577,0.00192495,0.00167667,0.00086599,0.00105772,0.00121232,0.00113782,0.000908834,0.000598345,3.5817e-05,
3.05 - 3.7,0.00489919,5.01063e-05,0.00145966,-0.000191913,0.000291891,0.00141995,0.00171833,0.00150583,0.000803867,0.000889806,0.000983591,0.000908834,0.000785333,0.00054569,3.13078e-05,
3.7 - 4.9,0.00284122,-0.00381255,-0.00184619,-0.000276302,3.31879e-05,0.000610231,0.000229897,0.00117289,0.000941821,0.000813253,0.000728666,0.000598345,0.00054569,0.000532446,2.31035e-05,
4.9 - 30,0.000221555,1.34856e-05,9.83175e-05,-1.12864e-05,6.77506e-06,6.83313e-05,7.38537e-05,6.39166e-05,3.49677e-05,3.54135e-05,3.83441e-05,3.5817e-05,3.13078e-05,2.31035e-05,1.44083e-06,

Detector covariance matrix (x10^{-40} cm^2/nucleon)^2
0.2 - 0.3,0.302028,0.146038,0.170471,0.0770955,0.0911473,0.0517214,0.0430748,0.0174572,0.0133426,0.00287009,-0.00547128,-0.00653492,-0.00897133,-0.00692564,-0.000219706,
0.3 - 0.4,0.146038,0.171103,0.123454,0.0859711,0.0839735,0.0641544,0.042248,0.0225815,0.0172446,0.00855743,0.00154991,-0.00115564,-0.00297455,-0.00273835,-0.000164458,
0.4 - 0.5,0.170471,0.123454,0.162555,0.0745911,0.084284,0.0629723,0.0447375,0.0243183,0.0193014,0.00714513,0.000400831,-0.000716535,-0.00303826,-0.00255165,-6.30716e-05,
0.5 - 0.6,0.0770955,0.0859711,0.0745911,0.0913283,0.0660997,0.0476655,0.0338866,0.0224985,0.014133,0.00848431,0.0046904,0.00348734,0.00140094,-5.48002e-05,-0.000126251,
0.6 - 0.75,0.0911473,0.0839735,0.084284,0.0660997,0.066106,0.0462968,0.0314485,0.0212253,0.015238,0.00750409,0.00335246,0.00207651,1.33812e-05,-0.000484228,-5.3611e-05,
0.75 - 0.95,0.0517214,0.0641544,0.0629723,0.0476655,0.0462968,0.0407915,0.0261069,0.0185007,0.0139467,0.00747109,0.00443719,0.00318774,0.00172302,0.000867656,9.40904e-06,
0.95 - 1.15,0.0430748,0.042248,0.0447375,0.0338866,0.0314485,0.0261069,0.0212901,0.0136666,0.00922199,0.00465726,0.00259855,0.00183773,0.000882855,0.000336766,9.28469e-07,
1.15 - 1.4,0.0174572,0.0225815,0.0243183,0.0224985,0.0212253,0.0185007,0.0136666,0.0121596,0.00836021,0.00450195,0.00363201,0.00302994,0.00219293,0.00139295,4.80193e-05,
1.4 - 1.75,0.0133426,0.0172446,0.0193014,0.014133,0.015238,0.0139467,0.00922199,0.00836021,0.00672624,0.00361094,0.002814,0.00233282,0.00167289,0.00110971,4.76046e-05,
1.75 - 2.1,0.00287009,0.00855743,0.00714513,0.00848431,0.00750409,0.00747109,0.00465726,0.00450195,0.00361094,0.00244488,0.00205583,0.00158782,0.00124563,0.00081452,2.70765e-05,
2.1 - 2.5,-0.00547128,0.00154991,0.000400831,0.0046904,0.00335246,0.00443719,0.00259855,0.00363201,0.002814,0.00205583,0.00228681,0.00192058,0.00168553,0.00111872,3.84127e-05,
2.5 - 3.05,-0.00653492,-0.00115564,-0.000716535,0.00348734,0.00207651,0.00318774,0.00183773,0.00302994,0.00233282,0.00158782,0.00192058,0.0018518,0.00163032,0.0010751,3.75188e-05,
3.05 - 3.7,-0.00897133,-0.00297455,-0.00303826,0.00140094,1.33812e-05,0.00172302,0.000882855,0.00219293,0.00167289,0.00124563,0.00168553,0.00163032,0.0016016,0.00107019,3.68491e-05,
3.7 - 4.9,-0.00692564,-0.00273835,-0.00255165,-5.48002e-05,-0.000484228,0.000867656,0.000336766,0.00139295,0.00110971,0.00081452,0.00111872,0.0010751,0.00107019,0.000753928,2.93407e-05,
4.9 - 30,-0.000219706,-0.000164458,-6.30716e-05,-0.000126251,-5.3611e-05,9.40904e-06,9.28469e-07,4.80193e-05,4.76046e-05,2.70765e-05,3.84127e-05,3.75188e-05,3.68491e-05,2.93407e-05,1.86595e-06,
